time_ms	token_index
333	0
666	1
999	2
1332	3
1665	4
1998	5
2331	6
2664	7
2997	8
3330	9
3663	10
3996	11
4329	12
4662	13
4995	14
5328	15
5661	16
5994	17
6327	18
6660	19
6993	20
7326	21
7659	22
7992	23
8325	24
8658	25
8991	26
9324	27
9657	28
9990	29
10323	30
10656	31
10989	32
11322	33
11655	34
11988	35
12321	36
12654	37
12987	38
13320	39
13653	40
13986	41
14652	41
14985	41
15318	41
15651	41
15984	42
16317	43
16650	44
16983	45
17316	45
17649	45
17982	46
18315	47
18648	48
18981	49
19314	50
19647	50
19980	50
20313	50
20646	51
20979	52
21312	53
21645	54
21978	54
22311	54
22644	55
23310	56
23643	57
23976	58
24309	59
24642	60
24975	61
25308	62
25641	63
25974	64
26307	65
26973	66
27306	67
27972	68
28305	69
28638	70
28971	71
29304	72
29637	73
29970	74
30303	75
30636	76
30969	77
31302	78
31635	79
31968	80
